Año;Etapa;Institución Educativa;Matriculados
2021;1;I. E. ANA GÓMEZ DE SIERRA;45
2021;1;I. E. ANTONIO DONADO CAMACHO;21
2021;1;I. E. BALTAZAR SALAZAR;22
2021;1;I. E. BARRO BLANCO;48
2021;1;I. E. CONCEJO MUNICIPAL EL PORVENIR;107
2021;1;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;81
2021;1;I. E. GILBERTO ECHEVERRI MEJÍA;33
2021;1;I. E. GUILLERMO GAVIRIA CORREA;14
2021;1;I. E. JOSÉ MARÍA CÓRDOBA;56
2021;1;I. E. JOSEFINA MUÑOZ GONZÁLEZ;137
2021;1;I. E. LA MOSQUITA;26
2021;1;I. E. SAN ANTONIO;28
2021;1;I. E. SAN JOSÉ DE LAS CUCHILLAS;33
2021;1;I. E. SANTA BÁRBARA;28
2021;1;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;161
2021;2;I. E. ANA GOMEZ DE SIERRA;39
2021;2;I. E. ANTONIO DONADO CAMACHO;20
2021;2;I. E. BALTAZAR SALAZAR;16
2021;2;I. E. BARRO BLANCO;40
2021;2;I. E. CONCEJO MUNICIPAL EL PORVENIR;102
2021;2;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;84
2021;2;I. E. GILBERTO ECHEVERRI MEJÍA;30
2021;2;I. E. GUILLERMO GAVIRIA CORREA;11
2021;2;I. E. JOSÉ MARÍA CÓRDOBA;29
2021;2;I. E. JOSEFINA MUÑOZ GONZÁLEZ;109
2021;2;I. E. LA MOSQUITA;25
2021;2;I. E. SAN ANTONIO;26
2021;2;I. E. SAN JOSÉ DE LAS CUCHILLAS;34
2021;2;I. E. SANTA BÁRBARA;26
2021;2;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;151
2022;1;I. E. ANA GOMEZ DE SIERRA;32
2022;1;I. E. ANTONIO DONADO CAMACHO;21
2022;1;I. E. BALTAZAR SALAZAR;12
2022;1;I. E. BARRO BLANCO;29
2022;1;I. E. CONCEJO MUNICIPAL EL PORVENIR;89
2022;1;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;81
2022;1;I. E. GILBERTO ECHEVERRI MEJÍA;23
2022;1;I. E. GUILLERMO GAVIRIA CORREA;9
2022;1;I. E. JOSÉ MARÍA CÓRDOBA;20
2022;1;I. E. JOSEFINA MUÑOZ GONZÁLEZ;75
2022;1;I. E. LA MOSQUITA;26
2022;1;I. E. SAN ANTONIO;16
2022;1;I. E. SAN JOSÉ DE LAS CUCHILLAS;37
2022;1;I. E. SANTA BÁRBARA;22
2022;1;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;162
2022;2;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;152
2022;2;I. E. CONCEJO MUNICIPAL EL PORVENIR;82
2022;2;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;76
2022;2;I. E. JOSEFINA MUÑOZ GONZÁLEZ;70
2022;2;I. E. SAN JOSÉ DE LAS CUCHILLAS;35
2022;2;I. E. ANA GOMEZ DE SIERRA;29
2022;2;I. E. BARRO BLANCO;28
2022;2;I. E. LA MOSQUITA;23
2022;2;I. E. SANTA BÁRBARA;21
2022;2;I. E. ANTONIO DONADO CAMACHO;19
2022;2;I. E. GILBERTO ECHEVERRI MEJÍA;19
2022;2;I. E. JOSÉ MARÍA CÓRDOBA;19
2022;2;I. E. SAN ANTONIO;15
2022;2;I. E. BALTAZAR SALAZAR;11
2022;2;I. E. GUILLERMO GAVIRIA CORREA;7
2023;1;I. E. ANA GOMEZ DE SIERRA;43
2023;1;I. E. ANTONIO DONADO CAMACHO;15
2023;1;I. E. BARRO BLANCO;38
2023;1;I. E. CONCEJO MUNICIPAL EL PORVENIR;96
2023;1;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;85
2023;1;I. E. GILBERTO ECHEVERRI MEJÍA;31
2023;1;I. E. GUILLERMO GAVIRIA CORREA;14
2023;1;I. E. JOSÉ MARÍA CÓRDOBA;36
2023;1;I. E. JOSEFINA MUÑOZ GONZÁLEZ;86
2023;1;I. E. LA MOSQUITA;23
2023;1;I. E. SAN ANTONIO;18
2023;1;I. E. SAN JOSÉ DE LAS CUCHILLAS;44
2023;1;I. E. SANTA BÁRBARA;33
2023;1;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;182
2023;2;I. E. ANA GOMEZ DE SIERRA;38
2023;2;I. E. ANTONIO DONADO CAMACHO;13
2023;2;I. E. BARRO BLANCO;31
2023;2;I. E. CONCEJO MUNICIPAL EL PORVENIR;88
2023;2;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;77
2023;2;I. E. GILBERTO ECHEVERRI MEJÍA;29
2023;2;I. E. GUILLERMO GAVIRIA CORREA;9
2023;2;I. E. JOSÉ MARÍA CÓRDOBA;32
2023;2;I. E. JOSEFINA MUÑOZ GONZÁLEZ;64
2023;2;I. E. LA MOSQUITA;21
2023;2;I. E. SAN ANTONIO;16
2023;2;I. E. SAN JOSÉ DE LAS CUCHILLAS;36
2023;2;I. E. SANTA BÁRBARA;32
2023;2;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;163
2025;1;I. E. ANA GÓMEZ DE SIERRA;69
2025;1;I. E. ANTONIO DONADO CAMACHO;23
2025;1;I. E. BALDOMERO SANÍN CANO;80
2025;1;I. E. BARRO BLANCO;66
2025;1;I. E. CONCEJO MUNICIPAL EL PORVENIR;30
2025;1;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;73
2025;1;I. E. GILBERTO ECHEVERRI MEJÍA;30
2025;1;I. E. GUILLERMO GAVIRIA CORREA;13
2025;1;I. E. JOSÉ MARÍA CÓRDOBA;99
2025;1;I. E. JOSEFINA MUÑOZ GONZÁLEZ;48
2025;1;I. E. LA MOSQUITA;40
2025;1;I. E. SAN JOSÉ DE LAS CUCHILLAS;61
2025;1;I. E. SANTA BÁRBARA;58
2025;1;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;1
2025;2;I. E. ANA GÓMEZ DE SIERRA;77
2025;2;I. E. ANTONIO DONADO CAMACHO;30
2025;2;I. E. BALDOMERO SANÍN CANO;96
2025;2;I. E. BARRO BLANCO;74
2025;2;I. E. CONCEJO MUNICIPAL EL PORVENIR;30
2025;2;I. E. ESCUELA NORMAL SUPERIOR DE MARÍA;84
2025;2;I. E. GILBERTO ECHEVERRI MEJÍA;41
2025;2;I. E. GUILLERMO GAVIRIA CORREA;20
2025;2;I. E. JOSÉ MARÍA CÓRDOBA;99
2025;2;I. E. JOSEFINA MUÑOZ GONZÁLEZ;81
2025;2;I. E. LA MOSQUITA;43
2025;2;I. E. SAN JOSÉ DE LAS CUCHILLAS;70
2025;2;I. E. SANTA BÁRBARA;65
2025;2;I. E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;1
