Año;Grado;Sede Nodal;Matriculados
2022;3°;I. E. DOMINGO SAVIO;34
2022;4°;I. E. DOMINGO SAVIO;30
2022;5°;I. E. DOMINGO SAVIO;32
2022;6°;I. E. DOMINGO SAVIO;54
2022;7°;I. E. DOMINGO SAVIO;37
2022;8°;I. E. DOMINGO SAVIO;45
2022;9°;I. E. DOMINGO SAVIO;36
2022;10°;I. E. DOMINGO SAVIO;26
2022;11°;I. E. DOMINGO SAVIO;17
2022;3°;I. E. SAN ANTONIO;57
2022;4°;I. E. SAN ANTONIO;64
2022;5°;I. E. SAN ANTONIO;77
2022;6°;I. E. SAN ANTONIO;113
2022;7°;I. E. SAN ANTONIO;102
2022;8°;I. E. SAN ANTONIO;78
2022;9°;I. E. SAN ANTONIO;77
2022;10°;I. E. SAN ANTONIO;85
2022;11°;I. E. SAN ANTONIO;61
2023;Transición;I. E. DOMINGO SAVIO;0
2023;1°;I. E. DOMINGO SAVIO;0
2023;2°;I. E. DOMINGO SAVIO;0
2023;3°;I. E. DOMINGO SAVIO;37
2023;4°;I. E. DOMINGO SAVIO;37
2023;5°;I. E. DOMINGO SAVIO;36
2023;6°;I. E. DOMINGO SAVIO;56
2023;7°;I. E. DOMINGO SAVIO;47
2023;8°;I. E. DOMINGO SAVIO;44
2023;9°;I. E. DOMINGO SAVIO;25
2023;10°;I. E. DOMINGO SAVIO;26
2023;11°;I. E. DOMINGO SAVIO;18
2023;Transición;I. E. SAN ANTONIO;47
2023;1°;I. E. SAN ANTONIO;67
2023;2°;I. E. SAN ANTONIO;69
2023;3°;I. E. SAN ANTONIO;71
2023;4°;I. E. SAN ANTONIO;68
2023;5°;I. E. SAN ANTONIO;73
2023;6°;I. E. SAN ANTONIO;0
2023;7°;I. E. SAN ANTONIO;0
2023;8°;I. E. SAN ANTONIO;0
2023;9°;I. E. SAN ANTONIO;0
2023;10°;I. E. SAN ANTONIO;0
2023;11°;I. E. SAN ANTONIO;0
2023;Transición;I. E. JOSEFINA MUÑOZ GONZÁLEZ;192
2023;1°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;242
2023;2°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;232
2023;3°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;4°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;5°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;6°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;7°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;8°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;9°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;0
2023;10°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;32
2023;11°;I. E. JOSEFINA MUÑOZ GONZÁLEZ;24
